지역,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
연도,,,,,,,,,,,,,,,,,
1997,1221,547,290,379,99,160,124,,1066,318,230,323,225,246,379,436,82
1998,1725,743,414,442,158,228,207,,1482,443,318,449,289,341,583,730,146
1999,1063,480,395,373,176,191,133,,1145,336,309,448,342,445,620,565,113
2000,933,489,315,355,152,182,126,,1152,300,268,437,316,333,578,497,89
2001,968,593,269,337,139,183,156,,1308,381,303,455,357,323,541,555,100
2002,1388,598,364,435,191,227,146,,1759,429,346,449,446,448,651,689,98
2003,1683,817,504,636,247,300,233,,2189,586,410,593,541,518,745,821,150
2004,1905,998,556,524,274,330,205,,2292,544,448,657,523,512,796,873,131
2005,2027,980,569,638,269,373,219,,2535,537,489,704,495,477,758,871,155
2006,1758,815,514,587,234,324,177,,2222,477,426,630,478,446,714,819,115
2007,2064,926,572,623,323,356,207,,2443,566,469,741,599,487,803,930,140
2008,2200,981,632,724,305,335,242,,2699,579,509,711,566,516,770,927,162
2009,2662,1141,729,843,406,461,275,,3285,655,639,928,662,599,914,1020,183
2010,2666,1163,739,875,442,435,271,,3407,671,550,914,614,646,945,1043,177
2011,2722,1123,735,903,384,445,288,,3580,687,601,931,694,645,938,1054,176
2012,2391,1050,601,872,370,382,263,43,3215,583,567,746,544,595,871,885,181
2013,2559,1013,666,868,331,363,284,23,3369,587,543,757,553,583,833,902,192
2014,2466,1000,624,834,349,408,293,25,3139,563,493,746,535,556,761,880,162
2015,2301,1008,662,791,313,409,283,41,3121,541,477,721,495,583,737,877,150
2016,2261,943,596,769,339,374,274,54,2879,495,517,665,528,562,773,912,151
2017,2067,907,613,700,329,337,283,46,2898,470,447,664,524,474,695,835,172
2018,2172,952,656,816,373,420,313,77,3111,507,493,749,544,525,790,971,201
2019,2149,1018,698,758,346,423,323,73,3310,509,494,743,548,473,781,937,210
